system:index,LST,NDVI,Risk,latitude,longitude,.geo
8685,35.03915447000003,0.03537532314658165,0.3201181535476811,40.851829839296926,-74.00165580510198,"{""type"":""Point"",""coordinates"":[-74.00165580510198,40.851829839296926]}"
8686,38.52382585999999,0.12214112281799316,0.3203423319120066,40.77064108112152,-73.95050515918676,"{""type"":""Point"",""coordinates"":[-73.95050515918676,40.77064108112152]}"
8687,37.746226310000026,-0.05276381969451904,0.480604180948439,40.76903331588613,-73.99722925779074,"{""type"":""Point"",""coordinates"":[-73.99722925779074,40.76903331588613]}"
8688,29.72755139000003,-0.05652358755469322,0.27818304860870424,40.70605137126279,-73.98463427387198,"{""type"":""Point"",""coordinates"":[-73.98463427387198,40.70605137126279]}"
8689,41.22064364000002,0.020266667008399963,0.4947209594984245,40.72287062374062,-73.99662866081059,"{""type"":""Point"",""coordinates"":[-73.99662866081059,40.72287062374062]}"
8690,31.371619010000018,0.013777503743767738,0.24802355729492764,40.75467349020936,-74.00328934619482,"{""type"":""Point"",""coordinates"":[-74.00328934619482,40.75467349020936]}"
8691,28.057848620000016,0.23297101259231567,-0.06314317322400381,40.833486060241,-74.00332412676903,"{""type"":""Point"",""coordinates"":[-74.00332412676903,40.833486060241]}"
8692,25.59858323000003,0.44968923926353455,-0.34977491520735937,40.85701313080334,-73.96091855197643,"{""type"":""Point"",""coordinates"":[-73.96091855197643,40.85701313080334]}"
8693,30.091570520000033,0.2189987152814865,0.003578973919275863,40.76750230149866,-73.94380436469017,"{""type"":""Point"",""coordinates"":[-73.94380436469017,40.76750230149866]}"
8694,38.72719805000003,0.03873933106660843,0.41153317961917024,40.76108473040878,-73.9972693784358,"{""type"":""Point"",""coordinates"":[-73.9972693784358,40.76108473040878]}"
8695,33.383123780000005,0.1658243089914322,0.14306525930568864,40.85142640240966,-73.98358586774783,"{""type"":""Point"",""coordinates"":[-73.98358586774783,40.85142640240966]}"
8696,24.908143190000033,-0.07065706700086594,0.16876108369376128,40.77940586939507,-74.00306926640783,"{""type"":""Point"",""coordinates"":[-74.00306926640783,40.77940586939507]}"
8697,29.41138454000003,0.5395419001579285,-0.3442904472755885,40.814224432552635,-73.95001083182571,"{""type"":""Point"",""coordinates"":[-73.95001083182571,40.814224432552635]}"
8698,30.00782903000001,0.5664383769035339,-0.35666680174552223,40.765847552906536,-73.97307269364511,"{""type"":""Point"",""coordinates"":[-73.97307269364511,40.765847552906536]}"
8699,39.85514465,0.061490125954151154,0.41710354004652966,40.73280353514599,-73.98961972536014,"{""type"":""Point"",""coordinates"":[-73.98961972536014,40.73280353514599]}"
8700,23.452066670000022,-0.05585464462637901,0.11604442402275852,40.755190581115336,-73.95971528240227,"{""type"":""Point"",""coordinates"":[-73.95971528240227,40.755190581115336]}"
